genre,author,book,pubhouse,price_now,price_old
Художественная литература,Чёрчвард Дэниел,Во тьме безмолвной под холмом,Феникс,1 380,1 972
Художественная литература,Лунёва Мария Павловна,По дороге на Оюту,Феникс,692,989
Художественная литература,,Ботаник в бегах…,Наш круг,421,601
Художественная литература,Вютерих Генриетта,Я золотая пыль Земли,Наш круг,631,901
Художественная литература,Кравченко Виктор Александрович,Зима. Сказание о ворскейтерах,Феникс,687,981
Художественная литература,Рудианова Анна Игоревна,Колесо судьбы,Феникс,644,920
Художественная литература,Твин Клэр,Лунный шторм. Время взрослеть,Феникс,827,1 272
Художественная литература,Лазарева Ирина,Золотые жилы,Феникс,1 005,1 546
Художественная литература,Топилин Владимир Степанович,Серебряный пояс,Вече,631,901
Художественная литература,Топилин Владимир Степанович,Слезы Черной речки,Вече,512,732
Художественная литература,Топилин Владимир Степанович,Когда цветут эдельвейсы,Вече,631,901
Художественная литература,Никитин,Яфет,Вече,592,845
Художественная литература,Алексеев Михаил,Мой Сталинград,Вече,788,1 126
Художественная литература,,,,,
Художественная литература,Рой Олег Юрьевич,Неотправленные письма. Роман-онлайн,Вече,631,901
Художественная литература,Пехов,Киндрэт. Тетралогия,Альфа-книга,3 046,4 352
Художественная литература,Вольный Владимир,На развалинах мира. Выживший во тьме,Феникс,827,1 272
Художественная литература,Сандзари Полюс,Viena Attentat,Наш круг,421,601
Художественная литература,Казаченко Константин Юрьевич,Розовый Трепанг,Наш круг,295,421
Художественная литература,Моррисон Чендлер,Ибо мы грешны,Феникс,1 191,1 832
Художественная литература,Уайльд Оскар,Как важно быть серьезным и другие сочинения,Качели,560,800
Художественная литература,Белоусов Анатолий Анатольевич,Уроборос,Четыре,307,438
Художественная литература,Выборнов Юрий Владимирович,За всё судьбу благодарю,Четыре,638,911
Художественная литература,Щедрина Дарья Александровна,"Друг мой, враг мой",Четыре,638,911
Художественная литература,,,,,
Художественная литература,Счастливая Наташа,Карты пожеланий. Стихи-пожелания,Четыре,307,438
Художественная литература,Продан Лара,Девушка в золотом,Четыре,307,438
Художественная литература,Николаев Георгий Викторович,Вечерний лабиринт,У Никитских ворот,601,858
Художественная литература,Бусахин Сергей Васильевич,Параллельные миры лифтёра Сорокина,У Никитских ворот,300,429
